SC,CR,aspect,SPI,TWI,tempuratur,rainfall,lithology1,NDVI,d_river,d_fault2,slope,Y
57.6666985,1.09982,127.9020004,3.8239,5.3864398,14.1999998,1450.400024,15,0.892704,0.0138204,0.0393787,24.5995007,2
28.2222004,1.03081,77.0054016,9.83957,12.6108999,10.3999996,1513.099976,0,0.896996,0.0086978,0.0362734,14.0446997,2
79.6666031,1.11584,73.1205978,3.9021299,5.3082099,12.3999996,1484.800049,0,0.939914,0.0090261,0.0445206,26.3390007,2
46.2221985,1.03749,324.9440002,3.3192201,5.89112,10.8000002,1506.099976,0,0.914163,0.0086978,0.05111,15.4502001,2
23.1110992,1.03262,189.7819977,6.64961,9.3631296,11.6999998,1494.800049,0,0.939914,0.0163488,0.0612584,14.4396,2
30.2222004,1.03353,297.6690063,7.7621598,10.4477997,12.1999998,1488.400024,15,0.918455,0.0276832,0.0773179,14.6337004,2
28.2222004,1.00693,248.875,5.86866,10.1441002,13.8000002,1444.599976,15,0.871245,0.0124303,0.0735771,6.7255301,2
75.6666031,1.14533,293.0639954,9.2154198,10.3808002,13.1999998,1462.900024,0,0.948498,0.0359994,0.0979795,29.1781998,2
39,1.03192,133.4089966,6.6385298,9.3742104,13.8000002,1446.599976,15,0.909871,0.0244629,0.0849566,14.2870998,2
40.3334007,1.0183001,162.9790039,4.05439,7.3531699,13.8999996,1445.900024,15,0.824034,0.0281038,0.0882308,10.8776999,2
4.1110802,1.01408,162.1809998,5.3962698,9.7878199,14.1000004,1447.699951,3,0.793991,0.0432959,0.102295,9.5585403,2
31.6665993,1.02293,170.6470032,4.1683502,7.2392101,13.8000002,1452.800049,3,0.716738,0.0413792,0.10584,12.1538,2
36.3333015,1.03925,273.0390015,6.7437,9.2690401,14.1999998,1451.699951,0,0.875537,0.0795214,0.134415,15.7960997,2
50,1.1224999,69.6467972,7.99826,9.3730202,13.6000004,1453.800049,15,0.781116,0.0350922,0.0970457,27.0177994,2
48.2221985,1.07065,79.6448975,9.2425098,11.1646996,13.6999998,1450.099976,15,0.879828,0.0373551,0.102819,20.9307995,2
51.4445,1.0667,113.1989975,7.0155401,8.9972,13.6000004,1451,3,0.862661,0.0438249,0.113792,20.3684006,2
22.4445,1.02692,354.4719849,10.7203999,13.6288004,14.6000004,1444.900024,15,0.88412,0.086186,0.154362,13.1478004,2
37.1110992,1.04416,252.3190002,6.8038702,9.2088699,13.3000002,1458.199951,15,0.892704,0.0455064,0.117364,16.7224998,2
68.4445038,1.12854,120.5790024,8.0282803,9.3475504,13.3999996,1455.5,15,0.896996,0.0465223,0.119339,27.6128006,2
34.2221985,1.03017,270,7.3031702,10.0958996,14.8000002,1443.300049,15,0.862661,0.0887097,0.151198,13.9013996,2
9.8889198,1.00519,311.6340027,8.3744698,13.0615997,14.3000002,1446.900024,3,0.785408,0.0651484,0.135547,5.8246498,2
75.2221985,1.10089,241.2779999,3.8295,5.3808398,14.1000004,1444.300049,15,0.914163,0.0487001,0.120533,24.7212009,2
25.5555,1.01653,271.6600037,6.9425802,10.4000998,14.5,1442.900024,3,0.763949,0.0696703,0.139861,10.3465004,2
48.7778015,1.07529,244.326004,7.7713399,9.6276903,14.1000004,1444.300049,3,0.918455,0.0488093,0.122307,21.5674992,2
17.3334007,1.0089099,74.2752991,9.0856705,13.1091003,13.8000002,1453.599976,3,0.690987,0.0748929,0.151327,7.6184301,2
92.4445038,1.19032,319.7120056,4.1676698,5.0426698,15.1999998,1424.900024,15,0.922747,0.0742762,0.150747,32.8483009,2
110.4440002,1.2238899,234.2259979,4.2565098,4.9538398,13.8000002,1465.099976,5,0.93133,0.0410937,0.117933,35.207901,2
44.7778015,1.21644,289.5509949,7.51019,8.3736496,13.8000002,1464.800049,15,0.93133,0.0395424,0.115317,34.7070999,2
68.5554962,1.12042,240.8350067,8.7100801,10.0752001,13.8999996,1465.5,5,0.892704,0.0519714,0.139289,26.8080006,2
57.8889008,1.14934,268.1029968,7.4382,8.5745401,14.1999998,1464.199951,5,0.922747,0.0714585,0.170525,29.5342007,2
80.8889008,1.1840301,174.6829987,4.1494298,5.0609102,12.8000002,1477.099976,15,0.901288,0.0444203,0.123048,32.3737984,2
41.2221985,1.05074,268.6679993,3.4737899,5.7365499,14.3000002,1450.800049,15,0.875537,0.0915518,0.172832,17.8789997,2
10,1.00289,199.0579987,5.3854599,10.5820999,14.3999996,1449,15,0.815451,0.0975873,0.167886,4.3516002,2
17,1.0101,353.3200073,2.6368999,6.5536599,14.5,1444.199951,0,0.828326,0.0979716,0.164097,8.1094303,2
44.1110992,1.05194,206.3690033,4.5843601,6.8232098,14.8000002,1440.300049,5,0.828326,0.111764,0.168619,18.0802002,2
22.2222004,1.01718,159.7339935,6.25319,9.6875095,15.1000004,1428,15,0.845494,0.0917924,0.159094,10.5455999,2
78.6667023,1.11264,326.92099,4.5805001,6.01613,15.8000002,1413,15,0.626609,0.0997936,0.16602,26.0039005,2
27.6667004,1.00288,287.2409973,2.0269799,7.1833601,16.2999992,1406.400024,0,0.905579,0.106802,0.165281,4.3410602,2
104.4440002,1.48429,153.901001,8.7304497,8.6070499,15.6000004,1426.5,8,0.879828,0.122677,0.184313,47.6450996,2
56,1.27298,223.8439941,9.3096199,10.0368004,15.8000002,1416.599976,15,0.935622,0.0919439,0.140056,38.2276993,2
27.1110992,1.03598,295.144989,8.0857201,10.6996002,14.8000002,1441.400024,3,0.845494,0.137063,0.19346,15.1441002,2
42.6666985,1.03276,344.5499878,3.25067,5.9596701,14.6000004,1445,0,0.88412,0.132644,0.169301,14.4708996,2
9.22223,1.0212899,173.904007,7.06077,10.6779003,14.8999996,1439.599976,3,0.871245,0.143006,0.184023,11.7192001,2
28.2222004,1.02421,206.8540039,5.04318,8.05898,16.7999992,1408.400024,5,0.88412,0.101508,0.0655351,12.4825001,2
54.8889008,1.06036,257.0969849,6.9640999,9.0486298,16.7999992,1406.300049,15,0.888412,0.124927,0.0902801,19.4255009,2
94.1110992,1.13949,238.0919952,6.4854798,7.6946702,16.7000008,1406.400024,15,0.742489,0.127727,0.0916667,28.6476994,2
32.2221985,1.01525,48.4682007,6.2652798,9.7474499,16.7999992,1404.5,5,0.871245,0.117195,0.0920846,9.9445896,2
28.4445,1.02293,189.3529968,6.4709401,9.5417995,17.1000004,1405.599976,5,0.815451,0.127752,0.121881,12.1538,2
48.6666985,1.09253,240.3760071,3.78422,5.4261198,15.5,1443,15,0.892704,0.114373,0.0988733,23.7502003,2
15.1111002,1.00941,221.3090057,9.0556402,13.2486,16.8999996,1410.900024,5,0.832618,0.127946,0.136688,7.8290801,2
33.2221985,1.0495501,248.8320007,6.8512001,9.1499395,16.5,1425.300049,5,0.811159,0.166606,0.175634,17.6760006,2
3.1110799,1.00009,225,4.1532402,14.1058998,15.1999998,1448.800049,3,0.875537,0.177798,0.201475,0.771321,2
15.2222004,1.05704,340.3460083,8.5206499,11.2749996,15.3999996,1451.300049,3,0.871245,0.188782,0.214724,18.9076996,2
69.1110992,1.13069,129.2319946,4.65909,5.9375501,15.8999996,1439.199951,3,0.854077,0.185375,0.220844,27.8204994,2
54,1.08657,282.6239929,7.1051302,8.86203,16.1000004,1422.199951,5,0.927039,0.156941,0.206444,23.0254993,2
46.1110992,1.06435,128.595993,5.4974198,7.56038,14.8999996,1457.800049,15,0.892704,0.137119,0.162409,20.0254002,2
16.6667004,1.00216,352.1849976,5.4993,10.9644003,16.2999992,1428.400024,5,0.896996,0.143376,0.213853,3.76262,2
33.7778015,1.01941,145.8079987,6.3867102,9.62603,16.3999996,1424.599976,5,0.858369,0.125355,0.18036,11.1977997,2
8.77777,1.0052,155.9559937,6.2800598,10.9809999,16.5,1424.300049,15,0.60515,0.15036,0.214964,5.8316002,2
25,1.03847,180.2819977,8.0212698,10.6654997,16.2999992,1425.300049,5,0.862661,0.183981,0.244484,15.6445999,2
31.6667004,1.01642,257.2999878,2.90115,6.3091898,16.2999992,1428.400024,15,0.879828,0.151719,0.234807,10.3121996,2
40.6666985,1.01557,94.8991013,6.7976899,10.2678003,16.1000004,1433.800049,15,0.905579,0.11932,0.187813,10.0455999,2
15.1111002,1.01184,106.6539993,2.72559,6.4736099,16.6000004,1423,15,0.832618,0.147288,0.2362,8.7751198,2
40.8889008,1.03799,127.3330002,10.4884005,13.0467997,15.1999998,1447.5,5,0.871245,0.0744626,0.162813,15.5496998,2
42.8889008,1.0412,136.3970032,4.0604401,6.53619,16,1438.900024,5,0.866953,0.193409,0.232699,16.1721992,2
68.7778015,1.07897,31.6306992,5.3112202,7.118,16.1000004,1440.199951,15,0.909871,0.126127,0.217858,22.0573997,2
77.2221985,1.21845,146.423996,8.3373299,9.0616999,16.1000004,1440.900024,15,0.909871,0.180578,0.1846,34.8437004,2
9.5555401,1.00451,93.1798019,6.2931099,11.052,16.7000008,1417.900024,5,0.519313,0.191722,0.218364,5.4342799,2
29.7777996,1.02968,57.4396019,6.6047401,9.4109898,16.2000008,1436.599976,15,0.828326,0.190906,0.233755,13.7910995,2
25.1110992,1.02157,253.3009949,3.03882,6.1715202,15.8000002,1425.800049,5,0.866953,0.112487,0.207601,11.7941999,2
30.8889008,1.02149,122.2600021,3.73014,6.8664999,16.7999992,1423.599976,7,0.763949,0.173719,0.163787,11.7733002,2
20.6667004,1.00305,97.5945969,7.7275,12.8582001,16.3999996,1430.300049,5,0.866953,0.194362,0.230849,4.4681602,2
51.5555,1.04836,289.730011,4.54773,6.8598299,15.8999996,1440.699951,15,0.922747,0.19592,0.238971,17.4701996,2
40.8889008,1.06941,87.9208984,4.3281002,6.2685399,15.8999996,1442.5,15,0.888412,0.19537,0.238144,20.7567005,2
79.6667023,1.09515,245.875,6.1967502,7.8093801,16.2000008,1433,15,0.875537,0.148034,0.221701,24.0608006,2
16.1110992,1.0016299,156.8009949,7.2231798,12.9483995,16.7000008,1418.5,5,0.892704,0.190306,0.21405,3.2690899,2
99.1110992,1.25314,255.5269928,7.7256198,8.2871199,15.3000002,1443.099976,5,0.909871,0.0987667,0.215204,37.0606995,2
22.7777996,1.00852,54.3349991,2.57092,6.63942,16.6000004,1421.300049,5,0.7897,0.184888,0.206454,7.4507899,2
50.4445,1.1216,273.8940125,8.6557798,10.0700998,16.3999996,1425.400024,15,0.914163,0.196055,0.239425,26.9272995,2
23.1110992,1.02045,171.8699951,7.5118699,10.6981001,16.6000004,1421.5,5,0.841202,0.192255,0.186967,11.4912004,2
35,1.05163,155.0099945,3.4826901,5.7276502,16.6000004,1420.800049,5,0.763949,0.189068,0.180308,18.0286007,2
28.3332996,1.01522,132.6860046,2.86307,6.34727,16.6000004,1420.800049,5,0.901288,0.188836,0.175636,9.93468,2
50.3333015,1.0649,133.3399963,4.6988802,6.7086802,13.8999996,1463.5,3,0.879828,0.131586,0.211271,20.1067009,2
46.1110992,1.15239,114.7750015,7.4489999,8.5637398,16.7000008,1426.099976,3,0.733906,0.162028,0.115967,29.8003006,2
34,1.05365,273.1929932,6.7743502,9.1091995,16.7000008,1426.099976,3,0.849785,0.160286,0.115315,18.3626003,2
1.55554,1.00006,305.5379944,3.4737899,12.5389004,17.1000004,1410.599976,12,0.454936,0.13418,0.0738797,0.616072,2
54,1.04839,349.9389954,3.4494801,5.76086,15.6999998,1440.900024,3,0.871245,0.1749,0.209692,17.4762001,2
12.7777996,1.01292,178.5559998,6.1012001,9.8309002,16.3999996,1428.599976,5,0.682403,0.170741,0.175195,9.1625299,2
48.8889008,1.07972,193.3110046,3.7066901,5.5036502,12.8999996,1472.900024,15,0.88412,0.118923,0.17707,22.1555996,2
50.4445,1.07306,222.9170074,8.1612301,10.0487003,13.8999996,1465.5,15,0.901288,0.143519,0.195071,21.2642994,2
